企业,发布时间,模型名称,参数规模 / 类型,功能简要说明
OpenAI,2022-01-27,InstructGPT,指令微调模型,通过人类反馈RLHF对语言模型进行对齐，使其更好地遵循指令。
OpenAI,2022-09-21,Whisper,语音识别模型,接近人类水平的英语语音识别鲁棒性和准确性。
OpenAI,2022年11月,GPT-3.5 (ChatGPT),175B,标志生成式 AI 进入公众视野，开启了生成式AI的热潮。
阿里巴巴,2023-05,MOSS,开源对话模型,复旦大学开发，中国首个带插件增强的开源对话语言模型。
阿里巴巴,2023-06,Baichuan-7B/13B,7B/13B 开源模型,支持中英文的双语模型，采用 Apache-2.0 协议开源。
xAI,2023年11月,Grok-1,314B (MoE),集成X平台实时数据流，提供极低延迟的时事评论。
DeepSeek,2023年11月2日,DeepSeek Coder,1.3B至33B,专门用于编程任务的模型，提供Base和Instruct版本。
xAI,2023年11月3日,Grok-1,314B; MoE (混合专家模型),xAI 的首款模型，设计带有“叛逆性格”，模仿《银河系漫游指南》。
Meta,2023年2月,LLaMA (LLaMA 1),"7B, 13B, 33B, 65B; 基础 Transformer 解码器",开源基础模型，证明了较小参数规模也能达到领先性能。
Meta,2023年2月24日,Llama 1,7B至65B,研究型模型，证明了较小规模参数也能在多项任务中匹配GPT-3的性能。
OpenAI,2023年3月,GPT-4,大型语言模型,比之前模型更强大的大型语言模型。
OpenAI,2023年3月,GPT-4,~1.7T (MoE),在法律和医学等专业考试中表现出色，标志着“前沿”智能的里程碑。
Anthropic,2023年3月,Claude & Claude Instant,未知 / 密集型,采用“宪法AI”方法，强调安全性和可控性，减少越狱风险。
Anthropic,2023年5月,Claude 1.3 (Helpful-only),预训练模型,未经诚实和无害化干预的微调模型。
Google,2023年5月,PaLM 2,密集型,专注于多语言和推理能力，是Google向Gemini过渡期间的主要模型。
智谱 AI,2023年6月,ChatGLM2,6B,专注于中英双语效率的模型。
Meta,2023年7月,LLaMA 2,"7B, 13B, 70B",引入了针对对话优化的 Chat 版本（LLaMA-2-Chat），训练数据更多并增加安全缓解措施。
Anthropic,2023年7月,Claude 2,大型语言模型,Claude 系列的第二代模型。
Anthropic,2023年7月,Claude 2,100k 上下文,实现了大规模上下文处理能力。
Meta,2023年7月18日,Llama 2,"7B, 13B, 70B",首个允许商业使用的开源标准模型，上下文窗口翻倍至4096。
xAI,2023年8月,Grok-0,33B 密集型,xAI的首款产品，旨在了解宇宙的真实本质。
阿里巴巴,2023年8月,Qwen-VL,7B+,具备视觉理解能力的模型。
Anthropic,2024-03-04,Claude 3 (Opus/Sonnet/Haiku),多模态系列,在推理、数学和编码方面设立新标杆，Opus 为顶配性能，Haiku 主打速度。
Meta,2024-04 (Llama 4 推测),Llama 4 Scout / Maverick,MoE 架构 / 10M-1M 上下文,首个原生多模态开源权重模型，支持超长上下文处理。
Meta,2024-10-09,Movie Gen,视频/音频生成模型,支持文本生成视频、角色一致性编辑以及同步音效合成。
智谱 AI,2024-10-25,GLM-4.0 (Voice),端到端语音模型,支持类人交互，可根据用户偏好调整音调、情感或方言。
DeepSeek,2024-12,DeepSeek V3,671B / MoE 架构,极高推理效率，采用稀疏注意力机制，成本远低于西方同类模型。
OpenAI,2024年,GPT-4o / GPT-4o mini,175B; 多模态,能够处理文本、图像、音频和视频的旗舰非推理模型。
Meta,2024年10月17日,Meta Movie Gen,30B (视频) / 13B (音频),文生视频、音频、个性化视频及编辑的全能媒体生成模型。
Meta,2024年12月,LLaMA 3.3,70B,针对多语言对话进行指令微调的模型。
DeepSeek,2024年12月,DeepSeek-V3,671B; 全力版,高性能开源模型，计算成本极具竞争力。
DeepSeek,2024年12月,DeepSeek-V3,671B (MoE),训练成本极低且性能匹配GPT-4o。激活参数仅为37B。
OpenAI,2024年12月12日,OpenAI o1,推理模型 (Reasoning),首款专注于慢速思考和复杂STEM问题解决的模型。
智谱 AI,2024年1月,GLM-4,128k 上下文,具备自主工具调用功能。
